anime_id,genre_id
1,0
1,1
1,2
1,3
1,4
1,5
6,0
6,4
6,1
6,2
6,3
6,6
7,0
7,7
7,8
7,9
7,3
7,10
15,0
15,11
15,2
15,6
16,2
16,3
16,12
16,13
16,14
18,0
18,15
18,11
18,3
18,16
19,3
19,17
19,7
19,8
19,18
19,16
19,19
20,0
20,1
20,2
20,20
20,21
20,6
22,0
22,2
22,11
22,22
22,6
24,2
24,13
24,22
24,6
25,0
25,1
25,2
25,23
25,4
25,6
26,0
26,4
26,18
26,3
28,2
28,6
29,0
29,24
29,4
29,25
29,3
29,16
30,0
30,4
30,26
30,18
30,3
30,27
33,0
33,1
33,28
33,3
33,29
33,17
33,24
33,13
33,16
33,9
45,0
45,1
45,2
45,25
45,13
45,30
45,6
48,31
48,4
48,1
48,7
48,10
48,29
50,2
50,9
50,10
50,13
50,16
52,4
52,2
52,11
52,3
52,6
53,32
53,14
53,2
53,3
53,13
55,0
55,1
55,29
55,17
55,4
56,1
56,29
56,4
56,6
57,2
57,3
57,33
57,6
57,14
58,1
58,13
58,27
58,24
58,4
58,17
58,5
58,3
59,4
59,2
59,3
59,13
59,23
59,16
60,0
60,28
60,25
60,13
60,6
60,9
61,0
61,2
61,10
61,13
61,29
61,22
61,34
63,4
63,32
63,2
63,13
63,23
63,6
64,0
64,2
64,3
64,10
64,16
65,0
65,2
65,3
65,10
65,16
66,14
66,2
66,22
67,0
67,1
67,25
67,9
67,13
67,30
67,29
68,4
68,1
68,2
68,20
68,6
69,0
69,29
69,24
69,4
71,0
71,24
71,4
71,2
71,27
72,0
72,2
72,22
73,0
73,24
73,27
74,2
74,22
74,34
74,20
75,0
75,3
75,27
75,24
75,4
76,0
76,2
76,3
76,10
76,20
77,0
77,2
77,3
77,10
77,20
79,32
79,2
79,3
79,10
79,13
79,23
79,29
79,22
79,16
80,0
80,24
80,4
80,5
80,27
85,24
85,4
85,5
85,3
85,13
85,27
86,5
86,2
86,27
86,24
86,3
86,4
89,3
89,27
89,24
89,4
89,5
90,0
90,24
90,4
90,5
90,3
90,27
92,4
92,1
92,5
92,3
92,27
93,0
93,3
93,27
93,24
93,13
93,4
93,5
94,0
94,3
94,27
94,24
94,13
94,4
94,5
95,0
95,24
95,4
95,1
95,5
95,3
95,13
95,27
96,1
96,2
96,3
96,21
96,27
96,13
96,4
96,5
96,11
97,0
97,4
97,1
98,0
98,2
98,3
98,29
98,10
98,27
98,13
98,22
98,35
99,2
99,3
99,29
99,10
100,2
100,3
100,29
100,10
100,13
100,34
100,20
101,14
101,9
101,3
101,13
104,1
104,2
104,17
104,18
104,9
104,3
104,13
104,34
107,1
107,2
107,29
107,4
107,6
109,1
109,2
109,27
109,4
111,4
111,1
111,2
111,10
113,0
113,27
113,13
113,4
113,5
114,2
114,22
114,6
115,1
115,2
115,29
116,1
116,2
116,13
116,29
120,14
120,2
120,9
120,3
120,13
120,34
121,0
121,1
121,2
121,3
121,29
121,10
121,24
121,6
122,33
122,2
122,9
122,3
122,13
122,34
123,1
123,29
123,10
123,21
123,2
123,13
123,25
123,3
123,34
127,0
127,4
127,2
127,29
127,27
127,6
129,0
129,1
129,2
129,28
129,3
129,6
129,9
132,0
132,2
132,3
132,7
132,6
132,20
132,9
133,2
133,23
133,13
133,22
133,14
134,0
134,18
134,24
134,3
134,4
135,2
135,31
135,6
135,9
136,0
136,1
136,20
136,29
136,6
141,27
141,4
143,9
143,3
143,10
143,13
143,27
143,6
143,35
144,3
144,13
144,14
144,9
145,2
145,3
145,13
145,22
145,34
145,14
146,4
146,2
146,3
146,10
146,13
146,23
147,3
147,13
147,14
149,0
149,7
149,9
149,3
149,13
149,29
149,12
149,36
150,0
150,24
150,7
150,17
150,9
150,3
150,37
152,0
152,4
152,20
153,0
153,1
153,29
153,10
153,9
154,0
154,1
154,2
154,20
154,9
154,6
156,0
156,20
156,3
156,10
156,13
156,29
156,34
157,2
157,23
157,29
157,32
157,10
157,13
157,22
157,6
157,20
157,9
158,14
158,3
158,13
158,34
158,35
159,1
159,29
159,17
159,27
159,18
159,4
159,6
159,5
159,9
160,1
160,3
160,29
160,24
160,4
161,0
161,2
161,25
161,30
161,6
162,2
162,29
162,38
162,13
162,22
162,6
163,1
163,2
163,29
163,25
163,6
165,0
165,3
165,27
165,33
165,7
165,18
165,13
165,4
166,25
166,27
166,30
166,4
167,4
167,1
167,2
167,3
167,29
167,27
167,6
168,0
168,4
168,1
168,20
168,3
169,0
169,17
169,7
169,13
169,20
169,9
169,37
170,2
170,3
170,22
170,6
170,11
173,7
173,2
173,25
173,28
173,9
173,3
173,6
174,0
174,23
174,21
174,2
174,20
174,22
174,6
175,0
175,1
175,13
175,4
175,6
175,20
177,0
177,1
177,29
177,10
177,13
177,9
177,6
178,2
178,10
178,13
178,22
178,34
180,0
180,23
180,27
180,4
180,6
180,5
181,0
181,23
181,27
181,4
181,6
181,5
182,1
182,18
182,13
182,29
182,27
184,0
184,27
184,4
184,6
184,5
185,0
185,15
185,3
185,16
185,11
186,0
186,15
186,3
186,16
186,11
189,2
189,23
189,32
189,13
189,6
189,14
193,2
193,3
193,23
193,32
193,10
193,13
193,22
195,4
195,2
195,3
195,13
195,22
196,2
196,3
196,32
196,22
196,4
198,0
198,7
198,20
202,0
202,1
202,3
202,29
202,7
202,4
205,0
205,1
205,2
205,25
205,30
205,6
206,0
206,1
206,3
206,10
206,13
206,29
209,0
209,4
209,1
209,2
209,20
209,3
210,14
210,2
210,21
210,29
210,6
218,0
218,2
218,27
218,24
218,39
218,13
218,4
218,6
218,5
222,0
222,1
222,2
222,7
222,4
223,1
223,2
223,29
223,21
223,6
223,20
225,0
225,4
225,1
225,2
225,20
225,10
225,29
225,6
226,0
226,17
226,18
226,9
226,3
226,13
226,16
228,7
228,17
228,18
228,9
229,2
229,39
229,21
230,0
230,2
230,21
230,16
231,0
231,2
231,9
231,29
231,16
232,1
232,2
232,3
232,10
232,13
232,29
232,22
232,34
234,1
234,11
234,6
236,1
236,2
236,3
236,24
236,4
236,6
236,9
237,1
237,3
237,27
237,13
237,4
238,0
238,1
238,21
238,6
238,20
239,3
239,7
239,4
239,9
239,19
240,14
240,2
240,39
241,32
241,2
241,13
241,23
241,29
241,22
241,6
242,14
242,2
242,3
242,22
242,12
243,2
243,33
243,13
243,34
243,36
245,14
245,2
245,3
245,22
245,6
246,1
246,2
246,29
246,13
246,6
249,0
249,1
249,2
249,25
249,28
249,9
249,10
249,13
249,29
249,6
250,1
250,2
250,28
250,9
250,10
250,6
251,1
251,2
251,28
251,29
251,34
252,24
252,7
252,18
252,9
252,3
252,10
252,6
253,14
253,2
253,22
257,23
257,20
257,21
257,22
260,2
260,3
260,32
260,13
260,14
263,2
263,11
263,3
263,6
266,3
266,27
266,24
266,13
266,4
266,6
266,14
267,0
267,3
267,4
267,16
267,20
269,0
269,1
269,2
269,20
269,9
269,6
270,0
270,17
270,9
270,37
270,16
271,4
271,1
271,27
271,6
272,0
272,7
272,3
273,14
273,3
273,10
273,6
274,0
274,4
274,20
274,23
274,27
275,23
275,2
275,32
275,13
276,2
276,23
276,24
276,13
276,4
277,24
277,4
277,2
277,3
277,13
277,23
278,0
278,4
278,2
278,6
279,29
279,25
279,17
279,7
279,18
279,9
284,0
284,3
284,24
284,13
284,6
286,1
286,27
286,4
286,6
287,0
287,11
287,21
287,6
288,0
288,4
288,1
288,2
288,11
288,6
289,2
289,3
290,0
290,24
290,4
290,5
290,13
292,3
292,6
292,11
293,2
293,29
293,4
294,1
294,2
294,3
294,27
294,24
294,4
294,5
295,1
295,3
295,27
295,24
295,4
295,5
296,0
296,4
296,1
296,2
296,29
296,22
296,6
297,0
297,23
297,1
297,2
297,6
298,1
298,2
298,29
298,31
298,4
298,6
303,2
303,10
303,9
306,2
306,39
306,23
306,29
318,2
318,23
318,32
318,13
318,4
321,0
321,23
321,2
321,4
322,2
322,3
322,12
322,13
322,14
323,7
323,26
323,8
323,18
323,9
323,3
323,19
324,2
324,27
324,8
324,4
325,14
325,3
325,13
325,22
325,34
326,17
326,12
326,7
326,9
328,33
328,14
328,3
328,13
328,34
329,3
329,13
329,4
329,16
329,5
330,2
330,3
330,13
330,23
330,6
334,2
334,3
334,13
334,34
335,2
335,10
335,7
335,6
335,9
337,2
337,13
337,9
338,24
338,25
338,3
338,13
338,34
339,26
339,3
339,7
339,18
339,4
339,9
340,0
340,25
340,21
340,30
340,6
341,3
341,7
341,6
342,3
342,24
342,4
342,5
345,14
345,25
345,3
345,13
345,16
347,0
347,4
347,1
347,10
347,37
347,29
348,2
348,29
348,10
348,14
350,2
350,10
354,2
354,23
354,10
354,4
355,0
355,3
355,29
355,13
355,22
355,9
356,0
356,9
356,10
356,13
356,29
360,1
360,9
360,3
360,29
369,18
369,9
369,26
369,7
369,3
369,17
370,0
370,1
370,2
370,23
370,8
370,4
370,6
375,0
375,1
375,2
375,27
375,4
375,16
379,2
379,39
379,4
379,6
383,2
383,4
384,0
384,4
384,17
384,18
384,9
384,3
384,23
385,3
385,29
385,4
385,9
387,14
387,7
387,18
387,3
387,29
390,11
390,3
390,13
390,6
392,0
392,2
392,28
392,9
392,21
392,6
394,2
394,3
394,32
394,13
394,14
395,0
395,4
395,17
395,18
395,9
395,3
395,23
396,0
396,24
396,13
396,4
396,5
397,0
397,24
397,13
397,4
397,5
400,0
400,4
400,1
400,5
400,2
411,0
411,1
411,3
411,27
411,4
411,6
412,2
412,23
412,14
417,0
417,10
417,29
419,1
419,2
419,25
419,9
419,30
419,6
421,2
421,24
421,4
421,6
424,1
424,2
424,8
424,4
427,2
427,11
427,3
427,29
427,34
435,1
435,2
435,3
435,29
435,10
435,27
435,13
435,34
440,2
440,3
440,29
440,7
440,18
440,34
447,0
447,3
447,6
456,2
456,22
456,14
457,1
457,14
457,7
457,25
457,9
457,29
457,16
467,0
467,24
467,4
467,8
467,27
467,16
469,2
469,13
469,37
469,22
469,6
472,3
472,32
472,13
472,22
472,14
473,0
473,24
473,1
473,3
473,6
477,4
477,14
477,29
477,6
478,0
478,27
478,13
478,20
478,9
478,4
479,0
479,1
479,2
479,20
479,9
479,3
479,6
481,1
481,31
481,6
482,0
482,31
482,2
482,29
482,6
483,0
483,4
483,5
483,20
483,3
486,0
486,1
486,18
486,14
487,32
487,2
487,13
487,23
487,29
487,22
487,6
488,14
488,2
489,2
489,3
489,14
489,9
490,2
490,39
490,22
495,1
495,2
495,23
495,29
495,10
495,6
495,9
506,3
506,13
506,34
508,1
508,2
508,38
509,2
509,3
509,13
509,22
509,14
511,1
511,2
511,25
511,29
516,2
516,27
516,39
516,4
516,6
521,1
521,33
521,2
521,10
521,13
521,34
525,1
525,3
525,29
525,25
527,0
527,1
527,2
527,38
527,29
529,3
529,24
529,13
529,22
529,4
530,28
530,10
530,13
530,34
532,3
532,10
532,13
532,34
534,1
534,2
534,28
534,10
534,29
535,1
535,2
535,28
535,10
535,29
538,2
538,32
538,13
538,4
538,6
552,0
552,1
552,2
552,29
552,38
553,2
553,3
553,29
553,17
553,10
553,34
553,36
553,37
554,1
554,2
554,3
554,25
554,27
554,24
554,13
554,6
555,2
555,27
555,13
555,4
555,35
555,6
561,1
561,27
561,4
561,6
563,4
563,2
563,13
567,0
567,4
567,7
567,18
567,27
568,1
568,27
568,4
568,6
569,24
569,4
569,5
569,2
569,39
573,0
573,1
573,2
573,3
573,32
573,21
573,27
573,13
573,4
573,6
576,2
576,29
576,32
576,10
576,13
576,6
577,29
577,10
584,4
584,1
584,14
584,3
586,7
586,25
586,17
586,29
587,2
587,3
587,13
590,2
590,13
590,6
593,3
593,27
593,24
593,18
593,4
593,5
603,0
603,2
603,10
603,29
603,34
604,33
604,2
604,3
604,10
604,13
604,34
605,2
605,13
605,37
605,29
606,1
606,2
606,25
606,21
606,30
610,2
610,3
610,23
610,9
618,1
618,17
618,10
618,21
618,30
618,6
618,9
620,7
620,17
620,3
620,29
621,0
621,2
621,17
621,7
621,37
623,1
623,2
623,10
623,13
623,22
624,0
624,32
624,2
624,23
624,6
634,3
634,18
634,13
634,16
634,14
635,0
635,1
635,2
635,3
635,6
636,1
636,2
636,3
636,21
636,30
636,6
649,2
649,23
649,32
649,13
652,4
652,2
653,2
653,4
655,2
655,4
667,2
667,3
667,13
667,22
667,35
667,14
668,2
668,32
668,13
682,29
682,10
682,2
682,32
682,13
687,4
687,2
687,10
687,13
687,29
687,34
688,18
688,3
688,10
690,0
690,17
690,28
690,3
690,37
690,34
691,0
691,2
691,3
691,21
691,13
691,14
691,11
693,0
693,2
693,3
693,23
693,8
693,4
693,6
696,2
696,32
696,13
696,4
696,6
696,5
706,2
706,3
718,2
718,3
718,13
718,16
718,14
721,2
721,3
721,29
721,10
721,7
721,13
738,0
738,1
738,2
738,29
738,6
740,28
740,10
740,13
740,34
744,2
744,13
744,4
744,6
776,14
776,2
776,3
776,13
776,6
782,18
782,27
782,24
782,9
782,3
789,3
789,29
789,18
789,9
790,18
790,7
790,4
800,2
800,4
800,14
801,0
801,24
801,4
801,7
801,8
801,27
801,16
812,1
812,3
812,10
812,4
813,0
813,1
813,2
813,29
813,21
813,6
813,20
831,2
831,29
831,14
833,0
833,2
833,27
833,4
833,6
836,2
836,3
836,32
836,13
836,14
838,3
838,16
838,19
840,2
840,13
840,4
841,2
841,23
841,14
845,1
845,29
845,6
846,2
846,13
846,22
846,6
849,2
849,7
849,39
849,22
849,4
849,14
850,32
850,2
850,3
850,13
850,22
850,36
853,2
853,32
853,13
853,22
853,34
854,0
854,1
854,5
854,2
854,13
854,24
854,4
855,3
855,13
855,22
855,35
856,0
856,3
856,29
856,4
857,0
857,2
857,23
857,6
857,11
859,1
859,2
859,3
859,29
859,6
860,0
860,2
860,28
860,29
860,10
861,2
861,3
861,7
861,18
861,9
863,2
863,3
863,23
863,22
863,14
873,1
873,3
873,29
873,31
873,4
874,1
874,2
874,3
874,29
874,6
876,0
876,1
876,3
876,7
876,6
877,33
877,14
877,2
877,3
877,13
877,34
878,0
878,27
878,13
878,4
879,24
879,3
879,10
879,13
879,29
879,35
880,2
880,10
880,13
880,16
880,9
888,0
888,27
888,24
888,4
888,5
889,0
889,16
890,1
890,27
890,4
890,6
907,2
907,3
907,22
907,34
909,1
909,27
909,4
909,5
910,1
910,2
910,21
914,2
914,23
914,22
914,11
916,0
916,7
916,2
916,17
916,8
916,9
916,16
918,0
918,2
918,25
918,39
918,30
918,4
918,6
919,3
919,13
919,4
929,0
929,4
929,1
929,3
929,29
929,27
930,4
930,5
930,3
930,27
934,7
934,26
934,17
934,18
934,9
934,19
935,0
935,4
935,20
940,2
940,23
940,13
940,6
940,9
942,7
942,2
942,3
942,13
942,29
953,0
953,4
953,1
953,7
953,3
953,34
956,1
956,27
956,4
956,6
957,1
957,2
957,3
957,29
957,25
957,13
958,0
958,1
958,27
958,8
958,4
961,0
961,1
961,21
961,2
961,6
962,4
962,14
962,29
962,6
967,0
967,3
967,21
967,4
967,6
969,0
969,1
969,29
969,13
969,9
969,3
969,7
969,6
973,1
973,4
992,0
992,4
992,32
992,2
992,27
992,6
996,1
996,2
996,3
996,29
996,10
996,13
996,34
998,0
998,1
998,2
998,28
998,3
998,23
998,17
998,7
998,13
998,4
1000,0
1000,4
1000,1
1000,5
1000,3
1000,16
1005,1
1005,29
1005,4
1005,6
1013,25
1013,10
1013,7
1013,16
1013,9
1017,0
1017,1
1017,2
1017,28
1017,29
1017,10
1018,1
1018,2
1018,29
1018,10
1018,6
1019,0
1019,25
1019,9
1019,3
1019,13
1019,22
1019,36
1025,4
1025,1
1025,33
1025,14
1025,5
1025,2
1045,1
1045,2
1045,23
1045,29
1045,10
1045,6
1048,28
1048,17
1048,9
1050,4
1050,1
1050,2
1050,6
1069,0
1069,4
1069,1
1069,3
1069,27
1069,6
1082,4
1082,7
1082,2
1082,8
1082,18
1082,3
1082,23
1083,3
1083,14
1083,11
1087,2
1087,3
1087,13
1087,22
1087,6
1087,14
1087,20
1088,0
1088,27
1088,24
1088,33
1088,13
1088,4
1088,5
1103,23
1103,2
1103,27
1103,13
1103,4
1108,10
1108,1
1108,29
1108,9
1108,25
1108,6
1126,4
1126,14
1127,2
1127,23
1127,10
1127,4
1128,2
1128,13
1128,4
1132,0
1132,1
1132,2
1132,3
1132,29
1132,6
1133,0
1133,2
1133,32
1133,27
1133,8
1133,4
1133,6
1133,5
1137,4
1137,1
1137,3
1137,29
1137,6
1138,1
1138,2
1138,4
1138,6
1142,3
1142,12
1142,13
1142,14
1156,0
1156,3
1156,7
1156,4
1157,0
1157,1
1157,29
1157,4
1157,6
1161,1
1161,2
1161,29
1161,27
1161,6
1163,1
1163,17
1163,27
1167,0
1167,25
1167,16
1172,1
1172,2
1172,28
1172,10
1172,29
1172,6
1175,4
1175,2
1175,11
1175,6
1179,4
1179,1
1179,5
1179,9
1179,27
1179,6
1184,1
1184,2
1184,3
1184,4
1184,6
1184,5
1186,0
1186,4
1186,1
1186,2
1186,11
1186,3
1186,22
1186,6
1194,0
1194,1
1194,2
1194,27
1194,4
1194,6
1195,0
1195,1
1195,32
1195,2
1195,10
1195,13
1195,23
1195,29
1195,22
1210,2
1210,18
1210,3
1210,13
1212,1
1212,27
1212,4
1212,6
1224,0
1224,4
1224,1
1224,33
1224,20
1224,9
1224,13
1224,29
1224,6
1230,1
1230,3
1230,27
1230,24
1230,4
1239,3
1239,10
1239,13
1239,34
1243,4
1243,7
1243,18
1243,9
1243,3
1246,0
1246,24
1246,7
1246,18
1246,3
1246,16
1249,0
1249,1
1249,5
1249,2
1249,27
1249,24
1249,4
1250,1
1250,2
1250,20
1250,10
1250,13
1250,29
1250,6
1251,1
1251,2
1251,25
1251,13
1251,4
1261,0
1261,2
1261,27
1261,20
1261,4
1261,6
1281,7
1281,17
1281,9
1292,0
1292,1
1292,30
1293,0
1293,4
1293,1
1293,2
1293,3
1293,13
1312,24
1312,4
1312,1
1312,2
1312,27
1313,0
1313,1
1313,2
1313,3
1313,29
1313,38
1333,1
1333,2
1333,38
1333,29
1349,0
1349,4
1349,27
1349,6
1371,4
1371,1
1371,25
1371,9
1371,3
1372,0
1372,2
1372,8
1372,16
1374,1
1374,4
1374,6
1409,11
1409,27
1409,4
1409,6
1410,27
1410,4
1410,6
1410,11
1412,0
1412,1
1412,7
1412,2
1412,16
1425,0
1425,1
1425,7
1425,2
1425,16
1442,0
1442,1
1442,29
1442,25
1442,4
1442,9
1450,1
1450,2
1450,3
1450,27
1450,4
1453,14
1453,2
1453,3
1453,13
1453,16
1456,0
1456,1
1456,8
1456,7
1459,0
1459,1
1459,5
1459,27
1459,13
1459,24
1459,3
1459,4
1459,6
1465,0
1465,27
1465,22
1465,4
1465,16
1466,4
1466,1
1466,5
1470,0
1470,2
1470,7
1470,6
1482,0
1482,1
1482,2
1482,20
1482,28
1482,6
1483,1
1483,3
1483,25
1483,7
1483,16
1483,14
1486,2
1486,3
1486,13
1486,34
1490,0
1490,1
1490,3
1490,4
1490,5
1498,0
1498,2
1498,29
1498,6
1498,9
1498,37
1508,3
1508,17
1508,4
1509,1
1509,2
1509,10
1509,13
1509,34
1517,0
1517,4
1517,2
1517,17
1517,3
1517,10
1517,13
1517,29
1519,0
1519,16
1524,14
1524,29
1524,9
1524,22
1524,3
1530,14
1530,9
1530,3
1530,13
1532,2
1532,3
1532,13
1532,34
1532,36
1532,14
1533,1
1533,10
1533,2
1533,13
1533,34
1535,7
1535,8
1535,18
1535,9
1535,19
1535,6
1536,0
1536,29
1536,9
1536,2
1536,22
1536,6
1538,0
1538,2
1538,3
1538,24
1542,0
1542,1
1542,27
1542,4
1546,1
1546,32
1546,2
1546,9
1546,10
1546,13
1546,23
1546,29
1546,22
1554,9
1554,3
1557,0
1557,10
1557,29
1557,9
1557,28
1557,25
1557,34
1559,0
1559,2
1559,21
1559,22
1559,6
1564,0
1564,1
1564,2
1564,38
1564,29
1565,0
1565,1
1565,2
1565,38
1565,29
1567,1
1567,10
1567,13
1567,34
1569,2
1569,3
1569,13
1569,22
1570,2
1570,32
1570,10
1570,13
1570,22
1571,7
1571,2
1571,17
1571,9
1571,34
1573,0
1573,2
1573,3
1573,23
1573,29
1573,17
1573,10
1573,6
1575,0
1575,24
1575,4
1575,20
1575,3
1575,27
1575,22
1579,32
1579,33
1579,2
1579,3
1579,10
1579,13
1579,22
1579,34
1583,0
1583,27
1583,4
1583,16
1587,9
1587,28
1587,25
1591,2
1591,13
1591,22
1592,2
1592,3
1592,13
1592,16
1592,14
1594,7
1594,17
1594,18
1594,9
1601,3
1601,7
1602,3
1602,23
1602,27
1602,24
1602,4
1602,5
1603,0
1603,27
1603,4
1604,0
1604,2
1604,6
1604,20
1606,0
1606,1
1606,2
1606,28
1606,9
1606,6
1607,3
1607,13
1607,9
1628,0
1628,28
1628,17
1628,6
1628,9
1629,0
1629,18
1629,3
1629,17
1638,1
1638,29
1650,0
1650,1
1650,3
1650,24
1650,4
1650,5
1655,2
1655,33
1660,0
1660,1
1660,3
1660,4
1661,0
1661,4
1661,22
1668,0
1668,1
1668,2
1668,4
1668,6
1668,11
1669,0
1669,1
1669,2
1669,4
1669,6
1669,11
1676,0
1676,1
1676,24
1676,4
1676,5
1678,0
1678,4
1678,1
1678,27
1678,6
1685,0
1685,1
1685,2
1685,6
1690,4
1690,18
1690,3
1690,27
1690,16
1694,0
1694,2
1694,27
1694,4
1699,3
1699,29
1699,25
1699,13
1704,0
1704,1
1704,4
1704,6
1704,20
1706,0
1706,1
1706,3
1706,25
1706,4
1706,16
1707,0
1707,4
1707,2
1707,11
1707,21
1707,6
1710,0
1710,31
1710,4
1710,1
1710,2
1710,27
1710,6
1713,0
1713,24
1713,4
1713,1
1713,6
1722,32
1722,2
1722,13
1722,23
1722,29
1722,6
1726,0
1726,28
1726,29
1727,3
1727,29
1727,33
1727,13
1727,22
1728,2
1728,14
1728,34
1735,0
1735,1
1735,2
1735,20
1735,21
1735,6
1738,0
1738,2
1738,21
1738,39
1738,6
1744,38
1744,1
1744,29
1744,10
1744,2
1744,13
1744,22
1744,3
1744,34
1769,0
1769,39
1769,2
1769,4
1775,0
1775,1
1775,3
1775,10
1775,29
1792,0
1792,1
1792,27
1792,4
1792,6
1810,3
1810,10
1810,13
1810,6
1816,4
1816,1
1816,2
1816,38
1816,27
1816,6
1818,0
1818,1
1818,20
1818,28
1818,9
1818,29
1818,6
1826,1
1826,38
1826,29
1827,0
1827,1
1827,25
1827,29
1836,2
1836,3
1836,23
1836,29
1836,32
1836,10
1836,13
1836,22
1836,16
1837,0
1837,4
1837,1
1837,2
1837,39
1837,6
1840,0
1840,1
1840,32
1840,2
1840,10
1840,13
1840,23
1840,29
1840,22
1844,0
1844,7
1844,2
1844,34
1846,11
1846,13
1846,3
1852,2
1852,22
1852,16
1852,14
1858,14
1858,2
1858,22
1860,0
1860,17
1860,9
1860,3
1860,21
1860,29
1860,22
1887,14
1887,2
1887,39
1887,22
1889,7
1889,18
1889,9
1889,19
1897,1
1897,27
1897,22
1897,4
1942,1
1942,4
1942,5
1956,0
1956,20
1956,23
1956,21
1956,22
1965,3
1965,13
1965,14
1965,9
1974,3
1974,34
1988,2
1988,13
